Species,Sample Type,Sample Number,Harvest Type,Subdistrict,Subdistrict Area,Subarea Initials,Gear,Wheel #,Sampler Name,Sample Date,Date Caught,Sample Week,Stat Week,Row,Fish number,# Otoliths collected,Sex,Length ME-fork,Length ME-A.fin,Whole fish (y/n),Fishery - Fed or State (F/S),AGE,SUBSAMPLED FOR ORIGIN? ,Subsample Row,Subsample Fish #,Origin    (h/w),,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO001,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Mikkelsen,6/5/2021,6/5/2021,1,23,A,9,2,M,540,410,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO001,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Mikkelsen,6/5/2021,6/5/2021,1,23,B,4,2,F,539,412,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Smelcer,6/5/2021,6/5/2021,1,23,B,1,2,M,538,413,N,S,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO001,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Mikkelsen,6/5/2021,6/5/2021,1,23,A,3,2,F,536,415,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,Grab,21DO201,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Beshaw,6/5/2021,6/5/2021,1,23,A,8,1,M,533,391,Y,S,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Smelcer,6/5/2021,6/5/2021,1,23,B,4,2,M,531,405,N,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO001,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Mikkelsen,6/5/2021,6/5/2021,1,23,A,10,2,M,530,405,Y,S,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,Grab,21DO201,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Beshaw,6/5/2021,6/5/2021,1,23,A,9,2,M,529,ND,N,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO001,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Mikkelsen,6/5/2021,6/5/2021,1,23,A,5,2,F,525,405,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,Grab,21DO201,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Beshaw,6/5/2021,6/5/2021,1,23,A,7,2,M,524,ND,N,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Smelcer,6/5/2021,6/5/2021,1,23,B,2,2,M,518,392,N,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO001,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Mikkelsen,6/5/2021,6/5/2021,1,23,A,11,1,M,515,390,Y,S,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO001,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Mikkelsen,6/5/2021,6/5/2021,1,23,B,1,2,F,511,383,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO001,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Mikkelsen,6/5/2021,6/5/2021,1,23,A,6,2,M,507,366,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,Grab,21DO201,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Beshaw,6/5/2021,6/5/2021,1,23,A,12,2,M,504,ND,N,S,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Smelcer,6/5/2021,6/5/2021,1,23,A,11,2,F,501,385,N,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO001,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Mikkelsen,6/5/2021,6/5/2021,1,23,A,4,2,M,500,380,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO001,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Mikkelsen,6/5/2021,6/5/2021,1,23,A,8,2,F,495,365,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO001,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Mikkelsen,6/5/2021,6/5/2021,1,23,A,7,2,M,467,352,Y,S,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO001,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Mikkelsen,6/5/2021,6/5/2021,1,23,A,12,1,F,465,344,Y,S,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO001,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Mikkelsen,6/5/2021,6/5/2021,1,23,A,1,1,F,454,367,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Smelcer,6/5/2021,6/5/2021,1,23,B,6,2,F,441,340,N,S,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Smelcer,6/5/2021,6/5/2021,1,23,B,3,2,M,392,295,N,S,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO001,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Williams,6/6/2021,6/6/2021,1,24,B,7,2,M,561,422,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO001,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Williams,6/6/2021,6/6/2021,1,24,B,6,1,F,543,418,Y,S,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO001,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Williams,6/6/2021,6/6/2021,1,24,B,8,2,F,523,400,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO001,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Williams,6/6/2021,6/6/2021,1,24,B,5,2,M,473,362,Y,S,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO102,Subsistence,Glennallen Subdistrict,Tonsina to Gakona,TG,FW,21,Smelcer,6/8/2021,6/8/2021,2,24,A,7,2,M,572,373,Y, F,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO102,Subsistence,Glennallen Subdistrict,Tonsina to Gakona,TG,FW,21,Smelcer,6/8/2021,6/8/2021,2,24,A,11,2,M,571,376,Y, F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO102,Subsistence,Glennallen Subdistrict,Tonsina to Gakona,TG,FW,21,Smelcer,6/8/2021,6/8/2021,2,24,B,5,2,M,536,338,Y, F,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO102,Subsistence,Glennallen Subdistrict,Tonsina to Gakona,TG,FW,21,Smelcer,6/8/2021,6/8/2021,2,24,A,1,2,F,532,409,Y, F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO102,Subsistence,Glennallen Subdistrict,Tonsina to Gakona,TG,FW,21,Smelcer,6/8/2021,6/8/2021,2,24,B,1,2,F,527,346,Y, F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO102,Subsistence,Glennallen Subdistrict,Tonsina to Gakona,TG,FW,21,Smelcer,6/8/2021,6/8/2021,2,24,B,7,2,F,525,334,Y, F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO102,Subsistence,Glennallen Subdistrict,Tonsina to Gakona,TG,FW,21,Smelcer,6/8/2021,6/8/2021,2,24,A,4,1,F,524,336,Y, F,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO102,Subsistence,Glennallen Subdistrict,Tonsina to Gakona,TG,FW,21,Smelcer,6/8/2021,6/8/2021,2,24,A,3,1,M,520,401,Y, F,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO102,Subsistence,Glennallen Subdistrict,Tonsina to Gakona,TG,FW,21,Smelcer,6/8/2021,6/8/2021,2,24,B,4,2,M,520,341,Y, F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO102,Subsistence,Glennallen Subdistrict,Tonsina to Gakona,TG,FW,21,Smelcer,6/8/2021,6/8/2021,2,24,A,10,2,M,515,348,Y, F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO102,Subsistence,Glennallen Subdistrict,Tonsina to Gakona,TG,FW,21,Smelcer,6/8/2021,6/8/2021,2,24,A,2,1,M,513,335,Y, F,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO102,Subsistence,Glennallen Subdistrict,Tonsina to Gakona,TG,FW,21,Smelcer,6/8/2021,6/8/2021,2,24,A,8,2,M,510,335,Y, F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO102,Subsistence,Glennallen Subdistrict,Tonsina to Gakona,TG,FW,21,Smelcer,6/8/2021,6/8/2021,2,24,A,9,2,F,510,332,Y, F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
