Subdistrict,Fishery,Sample week,HARVDATE,RED,KING,COHO
Glennallen Subdistrict,Fed GSD Sub,,6/3/2020,2,3,0
Glennallen Subdistrict,Fed GSD Sub,,6/3/2020,4,3,0
Glennallen Subdistrict,Fed GSD Sub,,6/3/2020,4,3,0
Glennallen Subdistrict,Fed GSD Sub,,6/3/2020,15,8,0
Glennallen Subdistrict,Fed GSD Sub,,6/3/2020,5,2,0
Glennallen Subdistrict,Fed GSD Sub,,6/3/2020,2,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/3/2020,8,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/3/2020,5,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/3/2020,0,1,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,10,5,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,13,1,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,10,0,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,22,1,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,0,3,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,4,1,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,11,1,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,43,4,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,6,1,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,7,2,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,2,2,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,15,2,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,1,1,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,7,3,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,11,4,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,8,3,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,21,5,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,12,2,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,26,2,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,38,4,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,7,3,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,5,2,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,0,2,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,0,2,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,28,2,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,17,1,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,4,1,0
Glennallen Subdistrict,STATE SUB,,6/4/2020,14,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/4/2020,1,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/4/2020,11,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/4/2020,0,6,0
Glennallen Subdistrict,Fed GSD Sub,,6/4/2020,0,2,0
Glennallen Subdistrict,Fed GSD Sub,,6/4/2020,8,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/4/2020,12,2,0
Glennallen Subdistrict,Fed GSD Sub,,6/4/2020,2,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/4/2020,5,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/4/2020,4,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/4/2020,5,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/4/2020,5,0,0
Glennallen Subdistrict,STATE SUB,,6/5/2020,20,5,0
Glennallen Subdistrict,STATE SUB,,6/5/2020,34,3,0
Glennallen Subdistrict,STATE SUB,,6/5/2020,30,3,0
Glennallen Subdistrict,STATE SUB,,6/5/2020,7,2,0
Glennallen Subdistrict,STATE SUB,,6/5/2020,60,0,0
Glennallen Subdistrict,STATE SUB,,6/5/2020,8,0,0
Glennallen Subdistrict,STATE SUB,,6/5/2020,28,3,0
Glennallen Subdistrict,STATE SUB,,6/5/2020,10,0,0
Glennallen Subdistrict,STATE SUB,,6/5/2020,0,1,0
Glennallen Subdistrict,STATE SUB,,6/5/2020,32,3,0
Glennallen Subdistrict,STATE SUB,,6/5/2020,15,3,0
Glennallen Subdistrict,STATE SUB,,6/5/2020,35,8,0
Glennallen Subdistrict,STATE SUB,,6/5/2020,14,5,0
