Subdistrict,Fishery,Sample week,HARVDATE,RED,KING,COHO
Glennallen Subdistrict,STATE SUB,,6/10/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/10/2020,0,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/10/2020,4,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/10/2020,2,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/10/2020,2,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/10/2020,15,7,0
Glennallen Subdistrict,Fed GSD Sub,,6/10/2020,2,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/10/2020,4,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/10/2020,8,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/10/2020,14,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/10/2020,15,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/10/2020,1,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/10/2020,15,0,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,10,0,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,28,1,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,2,2,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,49,4,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,12,2,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,16,0,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,36,0,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,2,0,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,57,0,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,6,1,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,87,1,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,22,1,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,16,1,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,39,1,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,6,2,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,30,0,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,11,1,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,5,1,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,10,3,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,66,2,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,13,3,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,12,10,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,57,5,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,35,1,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,2,1,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,25,2,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,21,3,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,19,13,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,21,4,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,14,3,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,56,1,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,35,0,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,5,2,0
Glennallen Subdistrict,STATE SUB,,6/11/2020,12,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/11/2020,9,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/11/2020,12,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/11/2020,7,4,0
Glennallen Subdistrict,Fed GSD Sub,,6/11/2020,1,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/11/2020,4,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/11/2020,3,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/11/2020,43,2,0
Glennallen Subdistrict,Fed GSD Sub,,6/11/2020,20,2,0
Glennallen Subdistrict,Fed GSD Sub,,6/11/2020,5,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/11/2020,34,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/11/2020,0,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/11/2020,25,11,0
Glennallen Subdistrict,Fed GSD Sub,,6/11/2020,0,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/11/2020,6,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/11/2020,37,2,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,1,2,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,9,1,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,13,1,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,26,9,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,53,2,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,45,3,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,20,0,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,10,1,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,11,2,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,27,4,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,3,0,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,20,3,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,3,1,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,2,2,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,27,6,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,19,3,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,23,0,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,20,3,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,41,1,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,9,4,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,5,2,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,40,3,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,8,0,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,2,1,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,1,1,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,49,3,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,5,1,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,22,14,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,17,1,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,12,0,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,20,1,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,3,0,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,5,1,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,49,0,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,6,1,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,44,2,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,10,5,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,17,0,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,22,5,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,1,0,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,15,2,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,8,0,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,12,1,0
Glennallen Subdistrict,STATE SUB,,6/12/2020,106,4,0
Glennallen Subdistrict,Fed GSD Sub,,6/12/2020,2,0,1
Glennallen Subdistrict,Fed GSD Sub,,6/12/2020,12,2,0
Glennallen Subdistrict,Fed GSD Sub,,6/12/2020,13,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/12/2020,12,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/12/2020,51,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/12/2020,10,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/12/2020,1,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/12/2020,6,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/12/2020,5,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/12/2020,49,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/12/2020,92,10,0
Glennallen Subdistrict,Fed GSD Sub,,6/12/2020,5,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/12/2020,16,7,0
Glennallen Subdistrict,Fed GSD Sub,,6/12/2020,18,4,0
Glennallen Subdistrict,Fed GSD Sub,,6/12/2020,0,7,0
Glennallen Subdistrict,Fed GSD Sub,,6/12/2020,10,5,0
Glennallen Subdistrict,Fed GSD Sub,,6/12/2020,2,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/12/2020,22,4,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,18,0,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,1,4,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,16,0,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,42,0,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,7,1,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,4,1,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,4,0,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,0,1,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,5,1,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,50,2,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,15,3,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,1,0,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,2,0,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,27,0,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,3,0,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,8,1,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,11,3,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,5,0,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,3,1,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,2,3,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,9,1,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,14,17,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,4,1,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,14,1,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,5,0,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,0,8,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,6,2,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,4,0,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,5,0,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,3,0,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,2,0,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,8,2,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,5,1,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,3,0,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,3,0,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,6,4,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,35,5,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,1,3,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,0,2,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,16,3,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,10,0,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,2,0,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,8,2,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,13,1,0
Glennallen Subdistrict,STATE SUB,,6/13/2020,10,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/13/2020,1,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/13/2020,0,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/13/2020,1,5,0
Glennallen Subdistrict,Fed GSD Sub,,6/13/2020,10,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/13/2020,1,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/13/2020,5,2,0
Glennallen Subdistrict,Fed GSD Sub,,6/13/2020,38,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/13/2020,78,4,0
Glennallen Subdistrict,Fed GSD Sub,,6/13/2020,5,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/13/2020,1,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/13/2020,3,2,0
Glennallen Subdistrict,Fed GSD Sub,,6/13/2020,12,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/13/2020,55,2,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,1,2,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,1,2,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,11,0,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,6,1,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,11,4,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,13,3,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,38,3,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,5,1,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,9,0,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,10,0,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,5,1,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,5,0,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,88,1,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,6,4,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,2,5,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,21,1,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,38,9,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,10,1,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,4,0,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,18,2,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,0,3,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,40,5,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,23,3,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,1,0,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,3,0,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,0,3,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,31,3,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,6,4,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,6,1,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,4,0,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,11,5,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,4,3,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,21,5,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,15,1,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,3,1,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,5,0,0
Glennallen Subdistrict,STATE SUB,,6/14/2020,1,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/14/2020,2,2,0
Glennallen Subdistrict,Fed GSD Sub,,6/14/2020,0,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/14/2020,38,2,0
Glennallen Subdistrict,Fed GSD Sub,,6/14/2020,0,4,0
Glennallen Subdistrict,Fed GSD Sub,,6/14/2020,4,2,0
Glennallen Subdistrict,Fed GSD Sub,,6/14/2020,3,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/14/2020,3,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/14/2020,3,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/14/2020,10,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/14/2020,5,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/14/2020,2,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/14/2020,1,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/14/2020,6,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/14/2020,6,2,0
Glennallen Subdistrict,Fed GSD Sub,,6/14/2020,17,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/14/2020,60,6,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,30,2,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,3,1,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,3,0,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,18,0,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,75,15,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,5,4,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,24,0,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,17,0,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,13,0,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,62,2,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,9,1,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,24,2,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,9,2,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,120,3,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,6,2,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,0,2,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,12,1,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,10,0,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,7,0,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,25,1,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,22,3,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,44,1,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,7,1,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,18,0,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,30,1,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,17,17,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,58,1,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,5,3,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,23,1,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,31,0,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,20,0,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,20,0,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,25,2,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,12,9,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,1,0,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,28,6,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,11,1,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,11,0,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,3,4,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,5,1,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,10,1,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,17,0,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,4,1,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,30,5,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,3,0,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,12,2,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,9,0,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,1,0,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/15/2020,0,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/15/2020,3,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/15/2020,3,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/15/2020,25,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/15/2020,1,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/15/2020,15,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/15/2020,0,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/15/2020,14,2,0
Glennallen Subdistrict,Fed GSD Sub,,6/15/2020,2,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/15/2020,4,2,0
Glennallen Subdistrict,Fed GSD Sub,,6/15/2020,4,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/15/2020,2,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/15/2020,0,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/15/2020,35,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/15/2020,8,4,0
Glennallen Subdistrict,Fed GSD Sub,,6/15/2020,38,7,0
Glennallen Subdistrict,Fed GSD Sub,,6/15/2020,6,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/15/2020,1,2,0
Glennallen Subdistrict,Fed GSD Sub,,6/15/2020,16,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/15/2020,21,0,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,6,0,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,2,1,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,12,2,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,7,0,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,1,1,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,42,2,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,44,0,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,4,2,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,0,10,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,2,6,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,11,5,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,25,1,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,15,2,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,30,0,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,2,0,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,8,2,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,37,2,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,12,0,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,9,0,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,5,11,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,15,0,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,15,1,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,22,0,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,5,1,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,10,0,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,17,1,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,4,0,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,10,3,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,0,3,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,13,0,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,30,0,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,2,0,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,5,2,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,29,0,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,1,1,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,10,2,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,6,3,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,22,1,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,11,2,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,4,1,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/16/2020,1,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/16/2020,4,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/16/2020,1,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/16/2020,4,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/16/2020,11,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/16/2020,1,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/16/2020,2,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/16/2020,2,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/16/2020,8,0,0
Glennallen Subdistrict,Fed GSD Sub,,6/16/2020,25,1,0
Glennallen Subdistrict,Fed GSD Sub,,6/16/2020,11,2,0
Glennallen Subdistrict,Fed GSD Sub,,6/16/2020,32,2,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,10,0,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,16,0,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,1,3,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,6,0,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,3,0,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,11,0,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,10,2,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,5,1,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,2,0,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,5,1,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,5,2,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,25,0,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,5,11,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,3,6,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,35,1,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,33,0,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,23,2,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,5,0,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,40,1,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,8,0,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,2,0,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,7,0,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,20,1,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,3,1,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,2,4,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,3,0,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,16,0,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,0,0,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,20,1,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,37,2,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,2,0,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,9,0,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,5,1,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,7,1,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,6,1,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,9,2,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,4,0,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,18,2,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,21,1,0
Glennallen Subdistrict,STATE SUB,,6/17/2020,16,1,0
