Scale Card Number,Sampler,Sample week,Date,Stat week,Subdistrict,Subarea name,Subarea,Fishery (State/Fed),Gear,Wheel #,Whole Fish (Y/N),ME-Fork length,ME-A.fin length,Fish Number,Sex ,AGE,Tag Number,Adipose Fin Present (Y/N),Notes,
BS007,DeLaune,4,6/25/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,795,596,1,F,E3,10021,Y,,
BS007,DeLaune,4,6/25/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,806,627,2,F,23,,Y,,
CS010,Farnham,4,6/25/2020,26,GSD,Bridge to Tonsina,BT,S,FW,75,Y,630,479,1,M,E3,,Y,,
CS010,Farnham,4,6/25/2020,26,GSD,Gakona to Slana,GS,F,FW,29,Y,697,518,2,M,13,,Y,,
MS005,Hansen,4,6/25/2020,26,GSD,Tonsina to Gakona,TG,F,DN,,Y,725,545,1,M,E6,,Y,SCALES 3 & 4 ARE FROM RIGHT SIDE,
MS005,Hansen,4,6/25/2020,26,GSD,Tonsina to Gakona,TG,F,DN,,Y,767,574,2,M,13,,Y,,
MS005,Hansen,4,6/25/2020,26,GSD,Tonsina to Gakona,TG,S,DN,,Y,797,606,3,M,13,,Y,,
MS005,Hansen,4,6/25/2020,26,GSD,Tonsina to Gakona,TG,S,DN,,Y,968,713,4,M,E3,,Y,,
AS007,Mikkelsen,4,6/26/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,758,576,1,M,13,,Y,,
AS007,Mikkelsen,4,6/26/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,N,N/A,N/A,2,F,E4,,Y,,
AS007,Mikkelsen,4,6/26/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,820,631,3,M,13,,Y,,
AS007,Mikkelsen,4,6/26/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,595,454,4,M,12,,Y,,
AS007,Mikkelsen,4,6/26/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,771,567,5,M,13,,Y,,
BS008,DeLaune,4,6/26/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,N,N/A,N/A,1,F,E4,,Y,FILET,
BS008,DeLaune,4,6/26/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,N,N/A,N/A,2,F,E3,,Y,FILET,
BS008,DeLaune,4,6/26/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,870,632,3,M,14,10619 & 150.353  B-34,Y,10619 & 150.353  B-34,
BS008,DeLaune,4,6/26/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,804,612,4,M,E4,,Y,,
AS008,Mikkelsen,4,6/27/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,923,690,1,M,14,,Y,,
AS008,Mikkelsen,4,6/27/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,771,583,2,F,13,,Y,,
AS008,Mikkelsen,4,6/27/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,768,584,3,F,E4,,Y,,
AS008,Mikkelsen,4,6/27/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,764,555,4,F,13,,Y,,
AS008,Mikkelsen,4,6/27/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,N,N/A,N/A,5,F,13,,Y,,
AS008,Mikkelsen,4,6/27/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,817,603,6,M,13,10371,Y,YELLOW TAG,
AS008,Mikkelsen,4,6/27/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,786,572,7,F,13,,Y,,
AS008,Mikkelsen,4,6/27/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,462,351,8,F,12,,Y,,
AS008,Mikkelsen,4,6/27/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,790,592,9,M,13,,Y,,
AS008,Mikkelsen,4,6/27/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,863,617,10,F,13,,Y,,
AS009,Mikkelsen,4,6/27/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,788,602,1,F,E3,,Y,,
AS009,Mikkelsen,4,6/27/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,N,N/A,N/A,2,N/A,14,,Y,,
AS009,Mikkelsen,4,6/27/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,N,N/A,N/A,3,N/A,E3,9853,Y,YELLOW TAG,
AS009,Mikkelsen,4,6/27/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,571,434,4,F,E3,,Y,,
AS009,Mikkelsen,4,6/27/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,878,684,5,M,E4,Y,Y,10643&150.403 B-29,
AS009,Mikkelsen,4,6/27/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,851,633,6,F,13,,Y,,
AS009,Mikkelsen,4,6/27/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,870,662,7,F,14,,Y,,
AS009,Mikkelsen,4,6/27/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,798,561,8,M,E3,,Y,,
AS009,Mikkelsen,4,6/27/2020,26,GSD,Bridge to Tonsina,BT,F,DN,,Y,801,555,9,F,E3,,Y,,
AS010,Mikkelsen,4,6/28/2020,27,GSD,Bridge to Tonsina,BT,F,DN,,N,N/A,N/A,1,N/A,E3,Y,Y,151.376 C-74,
AS010,Mikkelsen,4,6/28/2020,27,GSD,Bridge to Tonsina,BT,F,DN,,N,N/A,N/A,2,N/A,14,,Y,,
CS011,Farnham,5,6/30/2020,27,GSD,Bridge to Tonsina,BT,S,FW,71,Y,804,624,1,F,13,,Y,,
CS011,Farnham,5,6/30/2020,27,GSD,Bridge to Tonsina,BT,S,FW,71,Y,573,435,2,M,12,,Y,,
CS011,Farnham,5,6/30/2020,27,GSD,Bridge to Tonsina,BT,S,FW,71,Y,800,616,3,F,13,,Y,,
CS011,Farnham,5,6/30/2020,27,GSD,Bridge to Tonsina,BT,S,FW,71,Y,930,684,4,M,13,,Y,SCALES ABSORBED,
CS011,Farnham,5,6/30/2020,27,GSD,Bridge to Tonsina,BT,F,FW,20,Y,643,490,5,M,12,10835,Y,"SCALES ABSORBED, NVE 10835, RADIO GREEN 19-119, B-42",
CS011,Farnham,5,6/30/2020,27,GSD,Bridge to Tonsina,BT,F,FW,20,Y,336,270,6,M,E3,,Y,,
CS011,Farnham,5,6/30/2020,27,GSD,Bridge to Tonsina,BT,F,FW,20,Y,321,254,7,M,11,,Y,,
CS011,Farnham,5,6/30/2020,27,GSD,Bridge to Tonsina,BT,F,FW,20,Y,329,251,8,M,11,,Y,,
CS011,Farnham,5,6/30/2020,27,GSD,Bridge to Tonsina,BT,F,FW,20,Y,347,269,9,M,E3,,Y,REGENERATED SCALES,
CS011,Farnham,5,6/30/2020,27,GSD,Bridge to Tonsina,BT,S,FW,75,Y,784,603,10,F,13,,Y,,
CS012,Farnham,5,7/1/2020,27,GSD,Bridge to Tonsina,BT,S,FW,71,Y,941,709,1,M,14,,Y,SCALES ABSORBED,
CS012,Farnham,5,7/1/2020,27,GSD,Bridge to Tonsina,BT,S,FW,71,Y,759,566,2,M,13,,N,"SCALES ABSORBED, TOOK HEAD",
AS011,Mikkelsen,5,7/2/2020,27,GSD,Bridge to Tonsina,BT,S,DN,,Y,806,619,1,M,E3,,Y,,
AS011,Mikkelsen,5,7/2/2020,27,GSD,Bridge to Tonsina,BT,S,DN,,Y,880,652,2,M,14,,Y,,
AS011,Mikkelsen,5,7/2/2020,27,GSD,Bridge to Tonsina,BT,S,DN,,Y,714,540,3,F,E3,,Y,,
CS013,Farnham,6,7/6/2020,28,GSD,Gakona to Slana,GS,F,FW,29,Y,764,580,1,F,E3,,Y,SCALE ABSORBED,
CS013,Farnham,6,7/6/2020,28,GSD,Gakona to Slana,GS,F,FW,29,Y,793,612,2,F,14,,Y,SCALE ABSORBED,
CS014,Martin,6,7/9/2020,28,GSD,Tonsina to Gakona,TG,F,FW,1,Y,815,515,1,F,13,,N/A,"UNKNOWN IF SAMPLER CHECKED FOR ADIPOSE FIN, DATA FORM COLUMN LEFT BLANK",
CS014,Martin,6,7/9/2020,28,GSD,Tonsina to Gakona,TG,F,FW,1,Y,845,545,2,F,E3,,N/A,"UNKNOWN IF SAMPLER CHECKED FOR ADIPOSE FIN, DATA FORM COLUMN LEFT BLANK",
CS014,Martin,6,7/9/2020,28,GSD,Tonsina to Gakona,TG,F,FW,1,Y,785,490,3,F,E3,,N/A,"UNKNOWN IF SAMPLER CHECKED FOR ADIPOSE FIN, DATA FORM COLUMN LEFT BLANK",
CS014,Martin,6,7/9/2020,28,GSD,Tonsina to Gakona,TG,F,FW,1,Y,820,515,4,F,13,,N/A,"UNKNOWN IF SAMPLER CHECKED FOR ADIPOSE FIN, DATA FORM COLUMN LEFT BLANK",
CS014,Martin,6,7/9/2020,28,GSD,Tonsina to Gakona,TG,F,FW,1,Y,800,515,5,F,E3,,N/A,"UNKNOWN IF SAMPLER CHECKED FOR ADIPOSE FIN, DATA FORM COLUMN LEFT BLANK",
CS014,Martin,6,7/9/2020,28,GSD,Tonsina to Gakona,TG,F,FW,1,Y,760,505,6,F,E4,,N/A,"UNKNOWN IF SAMPLER CHECKED FOR ADIPOSE FIN, DATA FORM COLUMN LEFT BLANK",
CS014,Martin,6,7/9/2020,28,GSD,Tonsina to Gakona,TG,F,FW,1,Y,715,475,7,F,E4,,N/A,"UNKNOWN IF SAMPLER CHECKED FOR ADIPOSE FIN, DATA FORM COLUMN LEFT BLANK",
AS012,Mikkelsen,5,7/10/2020,27,GSD,Bridge to Tonsina,BT,S,DN,,N,N/A,N/A,1,N/A,E3,,Y,,
BS009,DeLaune,6,7/10/2020,28,GSD,Bridge to Tonsina,BT,S,DN,,Y,628,488,1,M,E6,,Y,,
BS009,DeLaune,6,7/10/2020,28,GSD,Bridge to Tonsina,BT,S,FW,71,Y,632,472,2,M,E3,,Y,,
AS013,Mikkelsen,6,7/12/2020,29,GSD,Bridge to Tonsina,BT,S,FW,71,Y,873,625,1,M,E4,,Y,,
AS013,Mikkelsen,6,7/12/2020,29,GSD,Bridge to Tonsina,BT,S,FW,75,Y,768,582,2,M,13,,Y,,
AS013,Mikkelsen,6,7/12/2020,29,GSD,Bridge to Tonsina,BT,S,FW,75,Y,790,606,3,M,E3,,Y,,
AS013,Mikkelsen,6,7/12/2020,29,GSD,Bridge to Tonsina,BT,S,FW,75,Y,867,651,4,F,13,,Y,,
AS013,Mikkelsen,6,7/12/2020,29,GSD,Bridge to Tonsina,BT,S,FW,75,Y,868,672,5,F,13,,Y,,
AS013,Mikkelsen,6,7/12/2020,29,GSD,Bridge to Tonsina,BT,S,FW,75,Y,915,690,6,F,14,,Y,,
AS013,Mikkelsen,6,7/12/2020,29,GSD,Bridge to Tonsina,BT,S,FW,75,Y,897,674,7,M,E4,,Y,,
BS010,DeLaune,6,7/12/2020,29,GSD,Bridge to Tonsina,BT,S,FW,71,Y,795,612,1,F,13,,Y,,
BS010,DeLaune,6,7/12/2020,29,GSD,Bridge to Tonsina,BT,S,FW,71,Y,1015,738,2,M,14,,Y,,
BS010,DeLaune,6,7/12/2020,29,GSD,Bridge to Tonsina,BT,S,FW,71,Y,917,695,3,F,E3,,Y,,
BS010,DeLaune,6,7/12/2020,29,GSD,Bridge to Tonsina,BT,S,FW,71,Y,802,607,4,M,E6,,Y,,
CS015,Farnham,7,7/14/2020,29,GSD,Tonsina to Gakona,TG,S,FW,16,Y,747,580,1,F,13,,Y,Scales Absorb,
CS015,Farnham,7,7/14/2020,29,GSD,Tonsina to Gakona,TG,S,FW,16,Y,838,646,2,M,13,,Y,Scales Absorb,
CS015,Farnham,7,7/14/2020,29,GSD,Tonsina to Gakona,TG,S,FW,16,Y,794,624,3,F,23,,Y,,
CS015,Farnham,7,7/14/2020,29,GSD,Tonsina to Gakona,TG,S,FW,16,Y,735,561,4,F,13,,Y,Scales Absorb,
BS011,DeLaune,7,7/16/2020,29,GSD,Bridge to Tonsina,BT,S,FW,71,Y,680,502,1,F,E3,,N,"I couldn't tell if the adiopose had been clipped off or eaten, so I bagged it 564803",
BS011,DeLaune,7,7/16/2020,29,GSD,Bridge to Tonsina,BT,S,FW,71,Y,644,491,2,M,E3,,Y,,
BS011,DeLaune,7,7/16/2020,29,GSD,Bridge to Tonsina,BT,S,FW,71,Y,861,544,3,F,13,,Y,,
AS014,Mikkelsen,7,7/18/2020,29,GSD,Bridge to Tonsina,BT,S,FW,74,N,N/A,N/A,1,M,E3,,Y,,
AS014,Mikkelsen,7,7/18/2020,29,GSD,Bridge to Tonsina,BT,S,FW,74,N,N/A,N/A,2,F,14,,Y,,
AS015,Mikkelsen,7,7/19/2020,30,GSD,Bridge to Tonsina,BT,S,FW,71,Y,909,765,1,F,14,,Y,,
AS015,Mikkelsen,7,7/19/2020,30,GSD,Bridge to Tonsina,BT,S,FW,71,Y,761,590,2,M,E3,,Y,,
AS015,Mikkelsen,7,7/19/2020,30,GSD,Bridge to Tonsina,BT,S,FW,71,Y,803,615,3,M,E3,10477,Y,YELLOW TAG,
AS015,Mikkelsen,7,7/19/2020,30,GSD,Bridge to Tonsina,BT,S,FW,71,Y,745,561,4,F,E6,,Y,,
CS016,Farnham,8,7/20/2020,30,GSD,Tonsina to Gakona,TG,F,FW,16,Y,338,254,1,M,11,,Y,,
BS012,DeLaune,8,7/23/2020,30,GSD,Bridge to Tonsina,BT,S,FW,71,Y,856,646,1,F,13,,Y,,
BS013,DeLaune,8,7/24/2020,30,GSD,Bridge to Tonsina,BT,S,FW,71,N,790,582,1,F,E3,,N?,NOT SURE BUT LOOKED LIKE CLIPPED ADIPOSE.  TAGGED & SAVED 564801,
CS017,Farnham,9,7/27/2020,31,GSD,Bridge to Tonsina,BT,F,FW,71,Y,887,680,1,F,14,N,Y,,
CS018,Farnham,9,7/29/2020,31,GSD,Bridge to Tonsina,BT,F,FW,75,Y,832,641,1,F,13,N,Y,,
CS018,Farnham,9,7/29/2020,31,GSD,Bridge to Tonsina,BT,S,FW,71,Y,934,686,2,M,E3,N,Y,SCALES ABSORB,
AS016,Mikkelsen,9,7/30/2020,31,GSD,Bridge to Tonsina,BT,S,FW,71,Y,894,701,1,F,14,N,Y,,
BS014,DeLaune,9,7/30/2020,31,GSD,Bridge to Tonsina,BT,S,FW,75,Y,895,677,1,F,13,N,Y,SOME SCALES REABSORBED,
BS014,DeLaune,9,7/30/2020,31,GSD,Bridge to Tonsina,BT,S,DN,,Y,817,610,2,F,14,N,Y,,
BS014,DeLaune,9,7/30/2020,31,GSD,Bridge to Tonsina,BT,S,DN,,Y,823,625,3,F,E3,N,Y,,
BS015,DeLaune,9,7/31/2020,31,GSD,Bridge to Tonsina,BT,S,DN,,Y,916,687,1,F,14,N,Y,,
BS016,DeLaune,10,8/2/2020,32,GSD,Bridge to Tonsina,BT,S,FW,75,Y,742,559,1,F,12,N,Y,,
BS017,DeLaune,10,8/4/2020,32,GSD,Bridge to Tonsina,BT,S,FW,75,Y,885,663,1,M,13,N,Y,,
BS017,DeLaune,10,8/4/2020,32,GSD,Bridge to Tonsina,BT,S,FW,75,Y,876,677,2,F,13,N,Y,,
AP001,,,,,,,,,,,,,,,N/A,13,,,"fifth set of scales on scale card, no data entered for fifth fish",
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
,,,,0,,,Wrong,,,,,,,,,,,,,
