Scale Card Number,Sampler,Sample week,Date,Stat week,Subdistrict,Subarea name,Subarea,Fishery (State/Fed),Gear,Wheel #,Whole Fish (Y/N),ME-Fork length,ME-A.fin length,Fish Number,Sex ,NVE Yellow Tag Number,Adipose Fin Present (Y/N),Notes (include radio tag # in this column),Age
AP001,Mikkelsen,2,6/10/2021,24,CSD,Below Bridge,BB,S,DN,,Y,825,633,3,M,,Y,,E3
AP001,Mikkelsen,2,6/10/2021,24,CSD,Below Bridge,BB,S,DN,,Y,772,594,4,F,,Y,,E3
AP001,Mikkelsen,2,6/10/2021,24,CSD,Below Bridge,BB,S,DN,,Y,765,601,5,M,,Y,,1.3
AP001,Mikkelsen,2,6/10/2021,24,CSD,Below Bridge,BB,S,DN,,Y,822,601,6,M,,Y,,E3
BP001,Williams,2,6/10/2021,24,CSD,Below Bridge,BB,S,DN,,Y,812,622,1,F,,Y,,1.1
BP001,Williams,2,6/10/2021,24,CSD,Below Bridge,BB,S,DN,,N,830,621,2,M,11458,Y,,E3
BP001,Williams,2,6/10/2021,24,CSD,Below Bridge,BB,S,DN,,Y,870,659,3,M,,Y,,1.3
BP001,Williams,2,6/10/2021,24,CSD,Below Bridge,BB,S,DN,,Y,787,609,4,F,,Y,,E3
BP001,Williams,2,6/10/2021,24,CSD,Below Bridge,BB,S,DN,,Y,806,608,5,M,,Y,,1.3
AP002,Mikkelsen,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,934,668,1,F,,Y,,E3
AP002,Mikkelsen,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,770,576,2,F,,Y,,1.3
AP002,Mikkelsen,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,775,588,3,F,,Y,,1.3
AP002,Mikkelsen,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,598,444,4,M,,Y,,1.2
AP003,Mikkelsen,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,782,670,1,F,,Y,,1.3
AP003,Mikkelsen,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,780,524,2,F,,Y,,1.3
AP003,Mikkelsen,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,864,750,3,M,,Y,,E4
AP003,Mikkelsen,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,798,617,4,M,,Y,,E3
AP003,Mikkelsen,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,601,449,5,M,,Y,,1.2
AP003,Mikkelsen,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,594,445,6,M,,Y,,1.2
