"","nz","prop_for_tab","p_raw","se_p_raw","harv_for_tab","c_raw","se_c_raw"
"3 11  M",3,"1.4 (0.8)%",0.0144327080677472,0.00810439052174227,"50 (28)",50.0526315789474,28.1060263294022
"3 11 total",3,"1.4 (0.8)%",0.0144327080677472,0.00810439052174227,"50 (28)",50.0526315789474,28.1060263294022
"4 12  M",22,"13.4 (2.8)%",0.134214934950951,0.028114309427953,"465 (98)",465.457394409898,97.5004250961408
"4 12 F",15,"10.7 (2.6)%",0.10658026039441,0.0262527061937807,"370 (91)",369.620343047814,91.0443850800315
"4 12 total",37,"24.1 (3.4)%",0.240795195345361,0.0335957990144529,"835 (117)",835.077737457712,116.510230982123
"5 13  M",45,"24.2 (3.3)%",0.241903544570658,0.0332879486103684,"839 (115)",838.921492571043,115.442605780758
"5 13 F",53,"27.6 (3.4)%",0.275575906352728,0.0336131485566691,"956 (117)",955.697243231261,116.570399194529
"5 13 total",98,"51.7 (3.9)%",0.517479450923387,0.0389611183454544,"1795 (135)",1794.6187358023,135.117158422036
"6 14  M",17,"8.5 (2)%",0.0849486850385586,0.0204743895000382,"295 (71)",294.602039713721,71.0051827861326
"6 14 F",16,"8.1 (2)%",0.0810124534715254,0.0198312649850232,"281 (69)",280.95118863925,68.7748269680605
"6 14 total",33,"16.6 (2.7)%",0.165961138510084,0.0272089351110857,"576 (94)",575.553228352972,94.3605869652453
"6 23  M",6,"2.8 (1.1)%",0.0279767704655881,0.0112016589762615,"97 (39)",97.0234399746595,38.847353329675
"6 23 F",4,"1.9 (0.9)%",0.0188202497435788,0.00931900163833291,"65 (32)",65.2686261107314,32.3182976817385
"6 23 total",10,"4.7 (1.4)%",0.0467970202091669,0.014392920864666,"162 (50)",162.292066085391,49.9146495586616
"7 24  M",1,"1 (1)%",0.00987867914050152,0.00987867914050152,"34 (34)",34.2592592592593,34.2592592592593
"7 24 F",1,"0.5 (0.5)%",0.00465580780375278,0.00465580780375278,"16 (16)",16.1463414634146,16.1463414634146
"7 24 total",2,"1.5 (1.1)%",0.0145344869442543,0.0109208446498641,"50 (38)",50.4056007226739,37.8734892457287
" M",94,"51.3 (3.9)%",0.513355322234005,0.0390035323735774,"1780 (135)",1780.31625750753,135.264250271566
"F",89,"48.7 (3.9)%",0.486644677765995,0.0390035323735774,"1688 (135)",1687.68374249247,135.264250271566
" M1",157,"55.3 (3)%",0.55250674668641,0.0302334377380053,"1916 (105)",1916.09339750847,104.849562075403
"F1",133,"44.7 (3)%",0.44749325331359,0.0302334377380053,"1552 (105)",1551.90660249153,104.849562075403
