"","nz","prop_for_tab","p_raw","se_p_raw","harv_for_tab","c_raw","se_c_raw"
"4 12  M",10,"15.4 (5.4)%",0.154237046597295,0.054053623789293,"869 (305)",869.125757575758,304.592170052666
"4 12 total",10,"15.4 (5.4)%",0.154237046597295,0.054053623789293,"869 (305)",869.125757575758,304.592170052666
"5 13  M",15,"18.1 (4)%",0.180614933720524,0.0398977027619328,"1018 (225)",1017.76515151515,224.823555063491
"5 13 F",40,"59.7 (6.8)%",0.597466591379635,0.0681439611485491,"3367 (384)",3366.72424242424,383.991221072074
"5 13 total",55,"77.8 (6.1)%",0.778081525100158,0.0610454798798092,"4384 (344)",4384.48939393939,343.991279122725
"6 14 F",2,"5.6 (4.3)%",0.0564744158532978,0.0430786388006204,"318 (243)",318.233333333333,242.748129641496
"6 14 total",2,"5.6 (4.3)%",0.0564744158532978,0.0430786388006204,"318 (243)",318.233333333333,242.748129641496
"6 23  M",1,"1.1 (1.1)%",0.0112070124492485,0.0112070124492485,"63 (63)",63.1515151515152,63.1515151515152
"6 23 total",1,"1.1 (1.1)%",0.0112070124492485,0.0112070124492485,"63 (63)",63.1515151515152,63.1515151515152
" M",26,"34.6 (6.3)%",0.346058992767067,0.0625886673211428,"1950 (353)",1950.04242424242,352.68714035464
"F",42,"65.4 (6.3)%",0.653941007232933,0.0625886673211428,"3685 (353)",3684.95757575758,352.68714035464
" M1",61,"48.7 (4.6)%",0.486854510125018,0.0459416126272043,"2743 (259)",2743.42516455447,258.880987154296
"F1",63,"51.3 (4.6)%",0.513145489874982,0.0459416126272043,"2892 (259)",2891.57483544552,258.880987154296
