"","nz","prop_for_tab","p_raw","se_p_raw","harv_for_tab","c_raw","se_c_raw"
"4 0.3  M",4,"0.4 (0.2)%",0.0044036133934264,0.00231975044807734,"326 (172)",325.796933299259,171.624417150554
"4 0.3 F",4,"0.4 (0.2)%",0.00365542080309447,0.00193726129762857,"270 (143)",270.442652696141,143.326339843752
"4 0.3 total",8,"0.8 (0.3)%",0.00805903419652087,0.00301187104766738,"596 (223)",596.2395859954,222.830267590623
"4 1.2  M",136,"9.3 (0.8)%",0.0926073627637291,0.00839013642802608,"6851 (621)",6851.46312671173,620.735853491081
"4 1.2 F",85,"6.3 (0.7)%",0.0627298607675968,0.00737953970429351,"4641 (546)",4641.00601902988,545.967865482451
"4 1.2 total",221,"15.5 (1.1)%",0.155337223531326,0.0107096242737696,"11492 (792)",11492.4691457416,792.340842270568
"5 1.3  M",426,"32.6 (1.4)%",0.326339708348985,0.0143970952292348,"24144 (1065)",24143.9169824913,1065.15469343971
"5 1.3 F",318,"25.4 (1.4)%",0.253862092448826,0.0135404323177746,"18782 (1002)",18781.733047734,1001.77534459824
"5 1.3 total",744,"58 (1.5)%",0.580201800797812,0.0152813010190302,"42926 (1131)",42925.6500302253,1130.57177459193
"5 2.2  M",40,"3.7 (0.6)%",0.0366059193723125,0.00611856269453935,"2708 (453)",2708.25233884117,452.6757423928
"5 2.2 F",36,"3 (0.5)%",0.0296752394904935,0.00529458290044001,"2195 (392)",2195.49291846467,391.714421306154
"5 2.2 total",76,"6.6 (0.8)%",0.066281158862806,0.00792946719306575,"4904 (587)",4903.74525730584,586.653700811776
"6 1.4  M",12,"0.8 (0.3)%",0.00830191447733601,0.00255256715037635,"614 (189)",614.208840691227,188.849128053444
"6 1.4 F",15,"1.2 (0.4)%",0.01249546905855,0.0036007046956021,"924 (266)",924.464782827764,266.394536199426
"6 1.4 total",27,"2.1 (0.4)%",0.020797383535886,0.00439812327925807,"1539 (325)",1538.67362351899,325.390752692629
"6 2.3  M",92,"8.2 (0.9)%",0.081515901422864,0.00879056584196722,"6031 (650)",6030.87245086917,650.361223252103
"6 2.3 F",103,"8.7 (0.9)%",0.0873142831498517,0.00895285739533868,"6460 (662)",6459.85992455863,662.368201536737
"6 2.3 total",195,"16.9 (1.2)%",0.168830184572716,0.0118764372183054,"12491 (879)",12490.7323754278,878.666331159104
"7 2.4 F",1,"0 (0)%",0.000493214502933928,0.000493214502933928,"36 (36)",36.4899817850638,36.4899817850637
"7 2.4 total",1,"0 (0)%",0.000493214502933928,0.000493214502933928,"36 (36)",36.4899817850638,36.4899817850637
" M",710,"55 (1.5)%",0.549774419778653,0.0154205832225794,"40675 (1141)",40674.5106729039,1140.87642913931
"F",562,"45 (1.5)%",0.450225580221347,0.0154205832225794,"33309 (1141)",33309.4893270961,1140.87642913931
" M1",791,"55.1 (1.5)%",0.550589011272294,0.014569795310743,"40735 (1078)",40734.7774099694,1077.93173627001
"F1",624,"44.9 (1.5)%",0.449410988727706,0.014569795310743,"33249 (1078)",33249.2225900306,1077.93173627001
