"","nz","prop_for_tab","p_raw","se_p_raw","harv_for_tab","c_raw","se_c_raw"
"4 0.3  M",5,"0.4 (0.2)%",0.0039961024706114,0.0019544279515904,"173 (85)",173.163108359004,84.6912264262669
"4 0.3 F",4,"0.3 (0.2)%",0.00280424980118768,0.00154895959674402,"122 (67)",121.516556634866,67.1210662057088
"4 0.3 total",9,"0.7 (0.2)%",0.00680035227179908,0.0024891246522784,"295 (108)",294.67966499387,107.86123855718
"4 1.2  M",152,"8.4 (0.7)%",0.0842420677215521,0.00690207551172123,"3650 (299)",3650.46152057802,299.087638149416
"4 1.2 F",105,"6.5 (0.7)%",0.065078651098101,0.00666183252055952,"2820 (289)",2820.05318803401,288.677188613406
"4 1.2 total",257,"14.9 (0.9)%",0.149320718819653,0.00914962451064493,"6471 (396)",6470.51470861203,396.480678919777
"4 2.1  M",1,"0.1 (0.1)%",0.000693426658035542,0.000693426658035542,"30 (30)",30.0482573726542,30.0482573726542
"4 2.1 total",1,"0.1 (0.1)%",0.000693426658035542,0.000693426658035542,"30 (30)",30.0482573726542,30.0482573726542
"5 1.3  M",463,"33.7 (1.4)%",0.337373376725882,0.0140366676861488,"14619 (608)",14619.4005336626,608.250920843886
"5 1.3 F",372,"26.6 (1.3)%",0.265666827071132,0.0130302736364279,"11512 (565)",11512.1406174734,564.640847487331
"5 1.3 total",835,"60.3 (1.5)%",0.603040203797014,0.0145757404975272,"26132 (632)",26131.541151136,631.610562979345
"5 2.2  M",32,"3.3 (0.6)%",0.0326159586585147,0.00586757477082678,"1413 (254)",1413.34733654942,254.259617544237
"5 2.2 F",48,"4.5 (0.7)%",0.0450077137034865,0.00658084638837854,"1950 (285)",1950.31925791318,285.167816547607
"5 2.2 total",80,"7.8 (0.9)%",0.0776236723620012,0.00857547798840686,"3364 (372)",3363.6665944626,371.601187671635
"6 1.4  M",22,"2.2 (0.5)%",0.022333226140058,0.0049255000301304,"968 (213)",967.765688327135,213.436692805641
"6 1.4 F",10,"1.1 (0.4)%",0.0108612890783307,0.00351197386254046,"471 (152)",470.652239631306,152.184363385466
"6 1.4 total",32,"3.3 (0.6)%",0.0331945152183888,0.00596782200476372,"1438 (259)",1438.41792795844,258.603630932426
"6 2.3  M",61,"5.6 (0.7)%",0.0556777993890848,0.00725037899352599,"2413 (314)",2412.68608092721,314.180672926462
"6 2.3 F",80,"7.2 (0.8)%",0.0717144447771239,0.00809111727284375,"3108 (351)",3107.60203552711,350.612384784138
"6 2.3 total",141,"12.7 (1)%",0.127392244166209,0.0103833345505258,"5520 (450)",5520.28811645432,449.941036077936
"7 2.4  M",2,"0.2 (0.1)%",0.00193486670689962,0.00142197536019369,"84 (62)",83.843579010081,61.6184582832732
"7 2.4 total",2,"0.2 (0.1)%",0.00193486670689962,0.00142197536019369,"84 (62)",83.843579010081,61.6184582832732
" M",738,"53.9 (1.5)%",0.538866824470638,0.014813179910725,"23351 (642)",23350.7161047862,641.899525071444
"F",619,"46.1 (1.5)%",0.461133175529362,0.014813179910725,"19982 (642)",19982.2838952138,641.899525071444
" M1",778,"53.2 (1.4)%",0.532414303394163,0.0142101903614634,"23071 (616)",23071.1090089793,615.770178933292
"F1",671,"46.8 (1.4)%",0.467585696605837,0.0142101903614634,"20262 (616)",20261.8909910207,615.770178933292
