"","nz","prop_for_tab","p_raw","se_p_raw","harv_for_tab","c_raw","se_c_raw"
"3 1.1  M",11,"10.3 (2.5)%",0.102617114618527,0.0245508218583755,"291 (70)",290.714285714286,69.5524783247777
"3 1.1 F",1,"0.8 (0.8)%",0.00752683706733664,0.00752683706733664,"21 (21)",21.3235294117647,21.3235294117647
"3 1.1 total",12,"11 (2.6)%",0.110143951685863,0.0256787096669579,"312 (73)",312.03781512605,72.7477844864919
"4 1.2  M",16,"13.2 (3)%",0.131584239767209,0.0296012981421647,"373 (84)",372.778151260504,83.8604776367527
"4 1.2 F",1,"5.5 (5.5)%",0.0551661540013111,0.0551661540013111,"156 (156)",156.285714285714,156.285714285714
"4 1.2 total",17,"18.7 (6.3)%",0.18675039376852,0.0626062408949595,"529 (177)",529.063865546218,177.36348045542
"4 2.1  M",4,"3.7 (1.8)%",0.0373153144067369,0.0175906079060745,"106 (50)",105.714285714286,49.8341921979091
"4 2.1 total",4,"3.7 (1.8)%",0.0373153144067369,0.0175906079060745,"106 (50)",105.714285714286,49.8341921979091
"5 1.3  M",14,"25.6 (8.2)%",0.256187430849502,0.0821278448117321,"726 (233)",725.778991596639,232.668184351637
"5 1.3 F",26,"31.3 (7.8)%",0.312855689398951,0.0784918351330414,"886 (222)",886.320168067227,222.367368931906
"5 1.3 total",40,"56.9 (7.9)%",0.569043120248452,0.0786954891219976,"1612 (223)",1612.09915966387,222.944320682619
"6 1.4 F",4,"3.4 (1.7)%",0.0340542288217793,0.017042369234771,"96 (48)",96.4756302521008,48.2810320421063
"6 1.4 total",4,"3.4 (1.7)%",0.0340542288217793,0.017042369234771,"96 (48)",96.4756302521008,48.2810320421063
"6 2.3 F",2,"6.3 (5.6)%",0.0626929910686477,0.0556772648711716,"178 (158)",177.609243697479,157.733691380029
"6 2.3 total",2,"6.3 (5.6)%",0.0626929910686477,0.0556772648711716,"178 (158)",177.609243697479,157.733691380029
" M",45,"52.8 (8.5)%",0.527704099641975,0.0850087367855523,"1495 (241)",1494.98571428571,240.82975131347
"F",34,"47.2 (8.5)%",0.472295900358025,0.0850087367855523,"1338 (241)",1338.01428571429,240.82975131347
" M1",71,"54.9 (6.7)%",0.549484100561929,0.0667221812854917,"1557 (189)",1556.68845689195,189.023939581798
"F1",49,"45.1 (6.7)%",0.450515899438071,0.0667221812854917,"1276 (189)",1276.31154310805,189.023939581798
