"","nz","prop_for_tab","p_raw","se_p_raw","harv_for_tab","c_raw","se_c_raw"
"4 0.3  M",13,"1 (0.3)%",0.00988687891794331,0.00330007054238772,"650 (217)",649.607492424547,216.827834917043
"4 0.3 F",15,"0.9 (0.2)%",0.00929864292058247,0.00247426266750553,"611 (163)",610.958034453951,162.568954305783
"4 0.3 total",28,"1.9 (0.4)%",0.0191855218385258,0.00410816982282757,"1261 (270)",1260.5655268785,269.923190039062
"4 1.2  M",40,"2.8 (0.5)%",0.0277219555587652,0.00479421441222543,"1821 (315)",1821.44336803311,314.99906374086
"4 1.2 F",85,"6.4 (0.8)%",0.0635694802585519,0.00772649505604953,"4177 (508)",4176.7691309079,507.661631162678
"4 1.2 total",125,"9.1 (0.9)%",0.0912914358173171,0.0089014978060273,"5998 (585)",5998.21249894101,584.864011847218
"4 2.1  M",1,"0.1 (0.1)%",0.000907355080931875,0.000907355080931875,"60 (60)",59.6168582375479,59.6168582375479
"4 2.1 F",1,"0.2 (0.2)%",0.00165011254129745,0.00165011254129745,"108 (108)",108.418994413408,108.418994413408
"4 2.1 total",2,"0.3 (0.2)%",0.00255746762222933,0.00188312629471314,"168 (124)",168.035852650956,123.728930067832
"5 1.3  M",364,"35.9 (1.7)%",0.359180513146611,0.0170301796664768,"23600 (1119)",23599.596435785,1118.95092480619
"5 1.3 F",454,"43.3 (1.8)%",0.433167923004801,0.0175172824211649,"28461 (1151)",28460.8652131075,1150.95552420022
"5 1.3 total",818,"79.2 (1.4)%",0.792348436151413,0.0138088288802271,"52060 (907)",52060.4616488924,907.295292746442
"5 2.2  M",4,"0.6 (0.3)%",0.00564039527446156,0.00301599749217105,"371 (198)",370.596531113223,198.163099225607
"5 2.2 F",17,"1.9 (0.5)%",0.0185806739470981,0.00506936236722445,"1221 (333)",1220.82460102013,333.077384976115
"5 2.2 total",21,"2.4 (0.6)%",0.0242210692215596,0.0058646250991821,"1591 (385)",1591.42113213336,385.329327516661
"6 1.4  M",2,"0.1 (0.1)%",0.00142273895337324,0.00104351031564884,"93 (69)",93.4796401924351,68.5628017793914
"6 1.4 total",2,"0.1 (0.1)%",0.00142273895337324,0.00104351031564884,"93 (69)",93.4796401924351,68.5628017793914
"6 2.3  M",32,"3.4 (0.7)%",0.0337702576423237,0.00652169194132827,"2219 (429)",2218.84100813123,428.501247313033
"6 2.3 F",33,"3.5 (0.7)%",0.0352030727532585,0.00674638490030845,"2313 (443)",2312.98269218009,443.264473489866
"6 2.3 total",65,"6.9 (0.9)%",0.0689733303955821,0.00915781870968076,"4532 (602)",4531.82370031133,601.705320500865
" M",456,"43.9 (1.8)%",0.43853009457441,0.017562110922468,"28813 (1154)",28813.1813339171,1153.90093604984
"F",605,"56.1 (1.8)%",0.56146990542559,0.017562110922468,"36891 (1154)",36890.8186660829,1153.90093604984
" M1",509,"44.1 (1.7)%",0.440683202493751,0.0165956535370559,"28955 (1090)",28954.6491366494,1090.40081999872
"F1",664,"55.9 (1.7)%",0.559316797506249,0.0165956535370559,"36749 (1090)",36749.3508633506,1090.40081999872
