"","nz","prop_for_tab","p_raw","se_p_raw","harv_for_tab","c_raw","se_c_raw"
"3 1.1  M",2,"0.8 (0.6)%",0.00804490615700747,0.00603747052820792,"50 (38)",50.2002144197266,37.6738160960174
"3 1.1 F",2,"0.9 (0.7)%",0.00938708504039514,0.00672392000136012,"59 (42)",58.5754106520657,41.9572608084872
"3 1.1 total",4,"1.7 (0.9)%",0.0174319911974026,0.00895408251575826,"109 (56)",108.775625071792,55.8734748983315
"4 0.3 F",1,"0.3 (0.3)%",0.00316142191142191,0.00316142191142191,"20 (20)",19.7272727272727,19.7272727272727
"4 0.3 total",1,"0.3 (0.3)%",0.00316142191142191,0.00316142191142191,"20 (20)",19.7272727272727,19.7272727272727
"4 1.2  M",4,"1.2 (0.6)%",0.0122804393408789,0.00622615821859954,"77 (39)",76.6299414870844,38.8512272840611
"4 1.2 F",1,"0.5 (0.5)%",0.00545262664165103,0.00545262664165103,"34 (34)",34.0243902439024,34.0243902439024
"4 1.2 total",5,"1.8 (0.8)%",0.0177330659825299,0.00827624210957348,"111 (52)",110.654331730987,51.6437507637385
"5 1.3  M",99,"33.4 (2.9)%",0.334441994171289,0.0287340240774857,"2087 (179)",2086.91804362885,179.300310243511
"5 1.3 F",148,"50.3 (3)%",0.502670643035157,0.0304024872046603,"3137 (190)",3136.66481253938,189.71152015708
"5 1.3 total",247,"83.7 (2.3)%",0.837112637206446,0.0231109447430547,"5224 (144)",5223.58285616822,144.212295196661
"6 1.4  M",9,"3.1 (1)%",0.0305826477194743,0.0104494695724187,"191 (65)",190.83572176952,65.2046901318928
"6 1.4 F",20,"7.2 (1.6)%",0.071866654630994,0.016169051495494,"448 (101)",448.447924897402,100.894881331883
"6 1.4 total",29,"10.2 (1.9)%",0.102449302350468,0.0188194623918688,"639 (117)",639.283646666922,117.433445325261
"6 2.3  M",2,"0.8 (0.6)%",0.00804490615700747,0.00603747052820792,"50 (38)",50.2002144197266,37.6738160960174
"6 2.3 F",2,"0.9 (0.6)%",0.00861404855307294,0.00630283474281701,"54 (39)",53.7516629711752,39.3296887951781
"6 2.3 total",4,"1.7 (0.9)%",0.0166589547100804,0.00864235033480929,"104 (54)",103.951877390902,53.92826608921
"7 1.5  M",1,"0.5 (0.5)%",0.00545262664165103,0.00545262664165103,"34 (34)",34.0243902439024,34.0243902439024
"7 1.5 total",1,"0.5 (0.5)%",0.00545262664165103,0.00545262664165103,"34 (34)",34.0243902439024,34.0243902439024
" M",117,"39.9 (3)%",0.398847520187309,0.02989340904869,"2489 (187)",2488.80852596881,186.534872463826
"F",174,"60.1 (3)%",0.601152479812692,0.02989340904869,"3751 (187)",3751.1914740312,186.534872463826
" M1",178,"39.4 (2.4)%",0.39449301735949,0.024001889163966,"2462 (150)",2461.63642832322,149.771788383148
"F1",269,"60.6 (2.4)%",0.60550698264051,0.024001889163966,"3778 (150)",3778.36357167678,149.771788383148
